"Age","Patients","Deaths","Study","Type","Location","EndPoint","meanAge"
"90+",288,142,"Public_data","Hospitalized","Netherlands","2020-05-11",90
"20-39",30603,3780,"Ranzani","Hospitalized","Brazil","2020-08-15",29.5
"40-49",33968,6162,"Ranzani","Hospitalized","Brazil","2020-08-15",44.5
"50-59",43376,11818,"Ranzani","Hospitalized","Brazil","2020-08-15",54.5
"60-69",48270,20317,"Ranzani","Hospitalized","Brazil","2020-08-15",64.5
"70-79",41434,22651,"Ranzani","Hospitalized","Brazil","2020-08-15",74.5
"80+",34385,22787,"Ranzani","Hospitalized","Brazil","2020-08-15",85
"0-4",84,1,"Docherty","Hospitalized","UK","2020-04-19",2
"5-9",21,0,"Docherty","Hospitalized","UK","2020-04-19",7
"10-14",12,0,"Docherty","Hospitalized","UK","2020-04-19",12
"15-19",25,1,"Docherty","Hospitalized","UK","2020-04-19",17
"20-24",41,1,"Docherty","Hospitalized","UK","2020-04-19",22
"25-29",58,5,"Docherty","Hospitalized","UK","2020-04-19",27
"30-34",104,5,"Docherty","Hospitalized","UK","2020-04-19",32
"35-39",170,11,"Docherty","Hospitalized","UK","2020-04-19",37
"40-44",241,19,"Docherty","Hospitalized","UK","2020-04-19",42
"45-49",346,37,"Docherty","Hospitalized","UK","2020-04-19",47
"50-54",478,63,"Docherty","Hospitalized","UK","2020-04-19",52
"55-59",583,124,"Docherty","Hospitalized","UK","2020-04-19",57
"60-64",661,184,"Docherty","Hospitalized","UK","2020-04-19",62
"65-69",696,243,"Docherty","Hospitalized","UK","2020-04-19",67
"70-74",947,451,"Docherty","Hospitalized","UK","2020-04-19",72
"75-79",1040,563,"Docherty","Hospitalized","UK","2020-04-19",77
"80-84",1119,653,"Docherty","Hospitalized","UK","2020-04-19",82
"85-89",861,552,"Docherty","Hospitalized","UK","2020-04-19",87
"90+",493,356,"Docherty","Hospitalized","UK","2020-04-19",90
"0-10",15,2,"Berenguer","Hospitalized","Spain","2020-04-17",5
"11-20",18,0,"Berenguer","Hospitalized","Spain","2020-04-17",15.5
"21-30",91,2,"Berenguer","Hospitalized","Spain","2020-04-17",25.5
"31-40",215,5,"Berenguer","Hospitalized","Spain","2020-04-17",35.5
"41-50",391,18,"Berenguer","Hospitalized","Spain","2020-04-17",45.5
"51-60",551,68,"Berenguer","Hospitalized","Spain","2020-04-17",55.5
"61-70",791,167,"Berenguer","Hospitalized","Spain","2020-04-17",65.5
"71-80",1032,357,"Berenguer","Hospitalized","Spain","2020-04-17",75.5
"81-90",744,389,"Berenguer","Hospitalized","Spain","2020-04-17",85.5
"91+",183,122,"Berenguer","Hospitalized","Spain","2020-04-17",90.5
"1-18",14,0,"Maquilon","Hospitalized","Chile","2020-06-04",9.5
"19-39",144,3,"Maquilon","Hospitalized","Chile","2020-06-04",29
"40-49",99,2,"Maquilon","Hospitalized","Chile","2020-06-04",44.5
"50-59",91,4,"Maquilon","Hospitalized","Chile","2020-06-04",54.5
"60-69",89,8,"Maquilon","Hospitalized","Chile","2020-06-04",64.5
"70+",65,37,"Maquilon","Hospitalized","Chile","2020-06-04",80
